gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,Churn,gender_enc,Dependents_enc,PhoneService_enc,MultipleLines_enc,InternetService_enc,Churn_enc,Contract_One year,Contract_Two year,tenure_scaled,MonthlyCharges_scaled
Male,0,Yes,67,No,No,DSL,51,No,1,1,0,0,0,0,False,True,1.4100994218432374,-0.4572612137728389
Male,0,No,39,Yes,No,DSL,20,No,1,0,1,0,0,0,False,True,0.26992923768238775,-1.4875204687666492
Male,0,Yes,54,Yes,No,Fiber optic,66,No,1,1,1,0,1,0,False,False,0.880734693482843,0.0412513289661016
Female,0,No,1,Yes,No,DSL,74,Yes,0,0,1,0,0,1,False,False,-1.2774445836787656,0.3071246850935365
Female,0,Yes,72,No,No,DSL,60,No,0,1,0,0,0,0,True,False,1.6137012404433893,-0.15815368812947458
Male,0,No,10,Yes,Yes,Fiber optic,99,Yes,1,0,1,1,1,1,False,True,-0.9109613101984924,1.1379789229917707
Male,0,Yes,13,Yes,Yes,DSL,97,Yes,1,1,1,1,0,1,False,True,-0.7888002190384014,1.071510583959912
Female,0,No,35,Yes,No,DSL,99,No,0,0,1,0,0,0,False,False,0.10704778280226633,1.1379789229917707
Male,0,Yes,12,No,Yes,Fiber optic,36,No,1,1,0,1,1,0,True,False,-0.8295205827584317,-0.9557737565117794
Male,0,No,31,Yes,No,DSL,91,No,1,0,1,0,0,0,True,False,-0.055833672077855064,0.8721055668643357
Female,0,Yes,53,Yes,No,DSL,108,No,0,1,1,0,0,0,False,False,0.8400143297628127,1.437086448635135
Male,0,No,1,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,-1.2774445836787656,-1.4875204687666492
Male,0,No,30,Yes,Yes,DSL,20,No,1,0,1,1,0,0,True,False,-0.0965540357978854,-1.4875204687666492
Female,0,No,46,Yes,No,Fiber optic,75,No,0,0,1,0,1,0,False,False,0.5549717837226001,0.3403588546094659
Female,0,No,19,Yes,No,DSL,90,Yes,0,0,1,0,0,1,False,False,-0.5444780367182193,0.8388713973484064
Female,0,No,23,Yes,No,Fiber optic,54,No,0,0,1,0,1,0,False,False,-0.38159658183809786,-0.3575587052250508
Female,1,No,15,Yes,No,Fiber optic,55,Yes,0,0,1,0,1,1,False,False,-0.7073594915983407,-0.32432453570912145
Male,0,No,48,Yes,No,DSL,20,No,1,0,1,0,0,0,False,True,0.6364125111626608,-1.4875204687666492
Male,0,Yes,25,Yes,Yes,Fiber optic,96,Yes,1,1,1,1,1,1,False,False,-0.30015585439803716,1.0382764144439827
Male,0,No,52,Yes,No,DSL,105,Yes,1,0,1,0,0,1,True,False,0.7992939660427822,1.3373839400873468
Male,0,No,12,Yes,No,DSL,82,Yes,1,0,1,0,0,1,False,True,-0.8295205827584317,0.5729980412209714
Female,0,No,48,Yes,No,DSL,25,No,0,0,1,0,0,0,False,True,0.6364125111626608,-1.3213496211870024
Female,0,No,38,Yes,No,DSL,20,No,0,0,1,0,0,0,False,False,0.22920887396235737,-1.4875204687666492
Female,0,No,18,No,No,Fiber optic,35,No,0,0,0,0,1,0,False,False,-0.5851984004382496,-0.9890079260277087
Female,0,No,45,Yes,No,Fiber optic,50,No,0,0,1,0,1,0,False,False,0.5142514200025698,-0.49049538328876824
Male,0,No,12,Yes,Yes,DSL,90,No,1,0,1,1,0,0,False,True,-0.8295205827584317,0.8388713973484064
Female,1,No,66,Yes,Yes,Fiber optic,102,No,0,0,1,1,1,0,False,False,1.369379058123207,1.2376814315395588
Female,0,No,72,Yes,Yes,Fiber optic,20,No,0,0,1,1,1,0,False,True,1.6137012404433893,-1.4875204687666492
Female,0,No,70,No,Yes,Fiber optic,45,No,0,0,0,1,1,0,False,False,1.5322605130033284,-0.6566662308684151
Female,0,No,27,Yes,Yes,DSL,90,No,0,0,1,1,0,0,True,False,-0.21871512695797646,0.8388713973484064
Male,0,No,1,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,-1.2774445836787656,-1.4875204687666492
Male,1,No,13,Yes,No,DSL,95,Yes,1,0,1,0,0,1,False,True,-0.7888002190384014,1.0050422449280532
Female,0,Yes,65,Yes,No,Fiber optic,90,No,0,1,1,0,1,0,False,False,1.3286586944031769,0.8388713973484064
Female,0,Yes,14,Yes,No,DSL,70,No,0,1,1,0,0,0,False,False,-0.748079855318371,0.17418800702981907
Female,0,Yes,17,Yes,No,DSL,85,Yes,0,1,1,0,0,1,False,False,-0.62591876415828,0.6727005497687596
Female,0,No,31,Yes,Yes,Fiber optic,21,No,0,0,1,1,1,0,True,False,-0.055833672077855064,-1.45428629925072
Male,0,Yes,24,Yes,No,DSL,24,No,1,1,1,0,0,0,True,False,-0.3408762181180675,-1.3545837907029317
Female,0,No,3,Yes,Yes,Fiber optic,20,No,0,0,1,1,1,0,False,True,-1.1960038562387048,-1.4875204687666492
Male,0,No,17,Yes,No,DSL,77,Yes,1,0,1,0,0,1,False,False,-0.62591876415828,0.40682719364132464
Male,0,No,66,Yes,Yes,Fiber optic,69,No,1,0,1,1,1,0,True,False,1.369379058123207,0.1409538375138897
Male,0,No,45,Yes,No,DSL,53,No,1,0,1,0,0,0,True,False,0.5142514200025698,-0.3907928747409802
Male,0,No,35,Yes,Yes,Fiber optic,92,No,1,0,1,1,1,0,True,False,0.10704778280226633,0.9053397363802651
Male,0,Yes,40,No,No,DSL,40,No,1,1,0,0,0,0,False,True,0.3106496014024181,-0.8228370784480619
Female,0,No,10,Yes,Yes,Fiber optic,85,Yes,0,0,1,1,1,1,False,False,-0.9109613101984924,0.6727005497687596
Female,0,No,52,Yes,No,DSL,64,No,0,0,1,0,0,0,True,False,0.7992939660427822,-0.025217010065757134
Female,0,No,13,Yes,No,Fiber optic,19,No,0,0,1,0,1,0,False,False,-0.7888002190384014,-1.5207546382825785
Female,1,No,43,Yes,Yes,Fiber optic,90,No,0,0,1,1,1,0,False,False,0.43281069256250915,0.8388713973484064
Female,0,No,41,Yes,No,DSL,20,No,0,0,1,0,0,0,False,True,0.35136996512244845,-1.4875204687666492
Female,1,No,52,No,No,Fiber optic,50,No,0,0,0,0,1,0,False,False,0.7992939660427822,-0.49049538328876824
Female,0,No,71,Yes,No,DSL,93,No,0,0,1,0,0,0,False,True,1.5729808767233588,0.9385739058961945
Male,0,No,61,Yes,Yes,Fiber optic,106,No,1,0,1,1,1,0,False,False,1.1657772395230555,1.3706181096032763
Female,0,No,26,No,No,DSL,44,No,0,0,0,0,0,0,False,True,-0.2594354906780068,-0.6899004003843444
Male,0,Yes,72,Yes,Yes,Fiber optic,68,No,1,1,1,1,1,0,False,False,1.6137012404433893,0.10771966799796033
Female,0,No,42,Yes,Yes,Fiber optic,78,No,0,0,1,1,1,0,True,False,0.3920903288424788,0.44006136315725397
Female,0,Yes,57,Yes,No,DSL,65,No,0,1,1,0,0,0,False,False,1.002895784642934,0.008017159450172232
Male,0,Yes,9,Yes,Yes,Fiber optic,20,No,1,1,1,1,1,0,False,False,-0.9516816739185228,-1.4875204687666492
Female,0,No,9,Yes,No,DSL,71,Yes,0,0,1,0,0,1,False,False,-0.9516816739185228,0.20742217654574843
Male,0,No,33,Yes,No,DSL,45,No,1,0,1,0,0,0,False,False,0.025607055362205634,-0.6566662308684151
Male,0,No,1,Yes,No,Fiber optic,19,No,1,0,1,0,1,0,False,True,-1.2774445836787656,-1.5207546382825785
Female,0,No,7,Yes,Yes,Fiber optic,79,Yes,0,0,1,1,1,1,False,False,-1.0331224013585834,0.47329553267318336
Male,0,No,1,Yes,Yes,DSL,72,Yes,1,0,1,1,0,1,False,True,-1.2774445836787656,0.2406563460616778
Male,0,Yes,65,Yes,No,DSL,20,No,1,1,1,0,0,0,False,False,1.3286586944031769,-1.4875204687666492
Male,0,No,10,Yes,No,DSL,86,Yes,1,0,1,0,0,1,True,False,-0.9109613101984924,0.7059347192846889
Male,0,No,70,Yes,Yes,Fiber optic,95,No,1,0,1,1,1,0,False,False,1.5322605130033284,1.0050422449280532
Female,0,No,29,Yes,No,DSL,99,Yes,0,0,1,0,0,1,False,False,-0.13727439951791576,1.1379789229917707
Male,0,Yes,21,Yes,No,DSL,104,Yes,1,1,1,0,0,1,False,True,-0.46303730927815856,1.3041497705714176
Male,0,No,1,Yes,No,DSL,91,Yes,1,0,1,0,0,1,False,False,-1.2774445836787656,0.8721055668643357
Male,0,No,5,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,-1.1145631287986442,-1.4875204687666492
Male,0,No,56,Yes,Yes,DSL,90,No,1,0,1,1,0,0,False,True,0.9621754209229036,0.8388713973484064
Male,0,Yes,35,Yes,No,Fiber optic,85,Yes,1,1,1,0,1,1,False,False,0.10704778280226633,0.6727005497687596
Male,0,Yes,10,Yes,No,DSL,20,No,1,1,1,0,0,0,False,True,-0.9109613101984924,-1.4875204687666492
Female,0,No,31,No,No,DSL,50,No,0,0,0,0,0,0,False,True,-0.055833672077855064,-0.49049538328876824
Male,1,No,37,Yes,No,Fiber optic,86,Yes,1,0,1,0,1,1,False,False,0.18848851024232702,0.7059347192846889
Male,1,No,57,Yes,Yes,DSL,95,Yes,1,0,1,1,0,1,False,True,1.002895784642934,1.0050422449280532
Female,0,Yes,34,Yes,Yes,DSL,26,No,0,1,1,1,0,0,False,False,0.06632741908223598,-1.288115451671073
Female,0,No,3,Yes,Yes,Fiber optic,99,Yes,0,0,1,1,1,1,False,True,-1.1960038562387048,1.1379789229917707
Female,0,No,4,Yes,Yes,Fiber optic,83,No,0,0,1,1,1,0,True,False,-1.1552834925186746,0.6062322107369008
Female,0,No,54,Yes,Yes,DSL,20,No,0,0,1,1,0,0,False,True,0.880734693482843,-1.4875204687666492
Male,0,Yes,6,Yes,Yes,Fiber optic,20,No,1,1,1,1,1,0,False,True,-1.0738427650786138,-1.4875204687666492
Male,0,No,22,Yes,No,DSL,60,No,1,0,1,0,0,0,True,False,-0.4223169455581282,-0.15815368812947458
Male,0,No,23,Yes,No,DSL,97,No,1,0,1,0,0,0,False,False,-0.38159658183809786,1.071510583959912
Female,0,No,68,Yes,No,DSL,58,No,0,0,1,0,0,0,True,False,1.4508197855632678,-0.22462202716133334
Female,0,Yes,48,Yes,No,DSL,20,No,0,1,1,0,0,0,False,False,0.6364125111626608,-1.4875204687666492
Male,0,Yes,34,Yes,No,DSL,21,No,1,1,1,0,0,0,False,False,0.06632741908223598,-1.45428629925072
Female,0,No,41,Yes,Yes,Fiber optic,80,No,0,0,1,1,1,0,False,False,0.35136996512244845,0.5065297021891128
Male,0,No,9,Yes,Yes,Fiber optic,76,No,1,0,1,1,1,0,True,False,-0.9516816739185228,0.37359302412539525
Female,1,No,18,Yes,No,DSL,104,No,0,0,1,0,0,0,False,True,-0.5851984004382496,1.3041497705714176
Male,0,No,35,Yes,No,DSL,96,No,1,0,1,0,0,0,False,False,0.10704778280226633,1.0382764144439827
Male,0,Yes,55,Yes,No,Fiber optic,79,No,1,1,1,0,1,0,False,False,0.9214550572028734,0.47329553267318336
Male,0,No,54,Yes,Yes,Fiber optic,108,No,1,0,1,1,1,0,False,False,0.880734693482843,1.437086448635135
Female,1,No,2,Yes,No,DSL,79,Yes,0,0,1,0,0,1,True,False,-1.2367242199587352,0.47329553267318336
Male,0,No,52,Yes,No,DSL,106,No,1,0,1,0,0,0,False,True,0.7992939660427822,1.3706181096032763
Male,0,No,72,Yes,Yes,DSL,70,No,1,0,1,1,0,0,False,True,1.6137012404433893,0.17418800702981907
Male,0,No,9,Yes,No,DSL,70,No,1,0,1,0,0,0,False,False,-0.9516816739185228,0.17418800702981907
Female,0,Yes,3,Yes,Yes,Fiber optic,70,No,0,1,1,1,1,0,False,False,-1.1960038562387048,0.17418800702981907
Male,1,No,4,Yes,No,Fiber optic,75,No,1,0,1,0,1,0,False,False,-1.1552834925186746,0.3403588546094659
Male,0,Yes,69,Yes,Yes,DSL,76,No,1,1,1,1,0,0,False,True,1.4915401492832983,0.37359302412539525
Female,0,Yes,67,No,No,DSL,36,No,0,1,0,0,0,0,True,False,1.4100994218432374,-0.9557737565117794
Male,0,No,4,Yes,No,DSL,80,Yes,1,0,1,0,0,1,False,True,-1.1552834925186746,0.5065297021891128
Male,0,No,13,No,No,Fiber optic,46,Yes,1,0,0,0,1,1,False,False,-0.7888002190384014,-0.6234320613524857
Female,0,Yes,45,Yes,Yes,DSL,81,No,0,1,1,1,0,0,False,True,0.5142514200025698,0.5397638717050421
Male,0,No,68,Yes,No,DSL,101,No,1,0,1,0,0,0,False,False,1.4508197855632678,1.2044472620236295
Female,0,Yes,69,Yes,No,DSL,74,No,0,1,1,0,0,0,False,False,1.4915401492832983,0.3071246850935365
Female,0,No,70,No,No,Fiber optic,58,No,0,0,0,0,1,0,True,False,1.5322605130033284,-0.22462202716133334
Female,0,No,1,Yes,Yes,Fiber optic,20,Yes,0,0,1,1,1,1,False,False,-1.2774445836787656,-1.4875204687666492
Female,0,Yes,45,Yes,No,DSL,26,No,0,1,1,0,0,0,False,True,0.5142514200025698,-1.288115451671073
Female,0,Yes,37,Yes,No,Fiber optic,20,No,0,1,1,0,1,0,True,False,0.18848851024232702,-1.4875204687666492
Female,0,Yes,10,No,No,DSL,40,No,0,1,0,0,0,0,True,False,-0.9109613101984924,-0.8228370784480619
Female,0,Yes,1,Yes,Yes,DSL,89,No,0,1,1,1,0,0,False,False,-1.2774445836787656,0.805637227832477
Male,0,Yes,29,Yes,Yes,Fiber optic,69,No,1,1,1,1,1,0,False,False,-0.13727439951791576,0.1409538375138897
Male,1,Yes,72,Yes,No,Fiber optic,104,No,1,1,1,0,1,0,False,False,1.6137012404433893,1.3041497705714176
Female,0,No,2,Yes,Yes,Fiber optic,76,Yes,0,0,1,1,1,1,False,False,-1.2367242199587352,0.37359302412539525
Male,0,No,24,Yes,No,DSL,54,No,1,0,1,0,0,0,True,False,-0.3408762181180675,-0.3575587052250508
Female,0,No,4,Yes,No,DSL,79,Yes,0,0,1,0,0,1,False,False,-1.1552834925186746,0.47329553267318336
Male,0,No,72,Yes,No,DSL,19,No,1,0,1,0,0,0,False,False,1.6137012404433893,-1.5207546382825785
Female,0,No,11,Yes,Yes,Fiber optic,79,No,0,0,1,1,1,0,False,False,-0.8702409464784621,0.47329553267318336
Female,0,Yes,44,Yes,No,DSL,20,No,0,1,1,0,0,0,True,False,0.47353105628253944,-1.4875204687666492
Male,0,Yes,62,Yes,No,Fiber optic,20,No,1,1,1,0,1,0,False,False,1.2064976032430856,-1.4875204687666492
Male,0,Yes,70,Yes,No,DSL,25,No,1,1,1,0,0,0,False,False,1.5322605130033284,-1.3213496211870024
Female,1,No,1,No,No,DSL,25,Yes,0,0,0,0,0,1,False,False,-1.2774445836787656,-1.3213496211870024
Female,0,No,4,Yes,No,DSL,106,Yes,0,0,1,0,0,1,False,False,-1.1552834925186746,1.3706181096032763
Female,1,No,2,Yes,No,DSL,86,Yes,0,0,1,0,0,1,True,False,-1.2367242199587352,0.7059347192846889
Female,0,No,41,Yes,Yes,DSL,56,No,0,0,1,1,0,0,False,False,0.35136996512244845,-0.29109036619319206
Female,1,No,1,Yes,Yes,DSL,19,Yes,0,0,1,1,0,1,True,False,-1.2774445836787656,-1.5207546382825785
Male,1,No,72,Yes,No,Fiber optic,84,No,1,0,1,0,1,0,False,False,1.6137012404433893,0.6394663802528302
Female,0,No,63,Yes,No,DSL,109,No,0,0,1,0,0,0,False,True,1.247217966963116,1.4703206181510644
Male,0,No,68,Yes,Yes,Fiber optic,80,No,1,0,1,1,1,0,False,True,1.4508197855632678,0.5065297021891128
Female,1,No,59,Yes,No,DSL,100,No,0,0,1,0,0,0,False,True,1.0843365120829946,1.1712130925077
Male,1,No,52,No,No,Fiber optic,49,No,1,0,0,0,1,0,False,False,0.7992939660427822,-0.5237295528046976
Male,1,Yes,26,Yes,Yes,DSL,106,Yes,1,1,1,1,0,1,False,True,-0.2594354906780068,1.3706181096032763
Male,0,No,66,No,Yes,Fiber optic,57,No,1,0,0,1,1,0,False,False,1.369379058123207,-0.2578561966772627
Female,1,No,56,Yes,Yes,Fiber optic,96,No,0,0,1,1,1,0,False,True,0.9621754209229036,1.0382764144439827
Female,0,No,72,Yes,No,DSL,79,No,0,0,1,0,0,0,False,False,1.6137012404433893,0.47329553267318336
Male,1,No,2,Yes,No,Fiber optic,70,No,1,0,1,0,1,0,True,False,-1.2367242199587352,0.17418800702981907
Male,0,No,68,Yes,No,Fiber optic,117,No,1,0,1,0,1,0,False,False,1.4508197855632678,1.7361939742784993
Male,0,Yes,61,Yes,Yes,Fiber optic,85,No,1,1,1,1,1,0,False,True,1.1657772395230555,0.6727005497687596
Male,0,No,1,Yes,No,Fiber optic,20,No,1,0,1,0,1,0,False,False,-1.2774445836787656,-1.4875204687666492
Male,0,No,2,Yes,No,Fiber optic,20,No,1,0,1,0,1,0,False,False,-1.2367242199587352,-1.4875204687666492
Female,0,No,2,Yes,No,Fiber optic,20,Yes,0,0,1,0,1,1,True,False,-1.2367242199587352,-1.4875204687666492
Male,1,Yes,68,Yes,No,DSL,85,No,1,1,1,0,0,0,False,True,1.4508197855632678,0.6727005497687596
Male,0,No,9,Yes,No,Fiber optic,68,No,1,0,1,0,1,0,False,False,-0.9516816739185228,0.10771966799796033
Male,0,No,13,Yes,No,Fiber optic,83,Yes,1,0,1,0,1,1,False,False,-0.7888002190384014,0.6062322107369008
Female,0,No,22,Yes,No,Fiber optic,20,No,0,0,1,0,1,0,True,False,-0.4223169455581282,-1.4875204687666492
Male,0,Yes,66,Yes,No,DSL,25,No,1,1,1,0,0,0,False,False,1.369379058123207,-1.3213496211870024
Male,0,Yes,8,Yes,No,DSL,20,No,1,1,1,0,0,0,False,False,-0.9924020376385531,-1.4875204687666492
Male,0,Yes,2,Yes,No,DSL,70,No,1,1,1,0,0,0,False,True,-1.2367242199587352,0.17418800702981907
Male,0,No,3,Yes,No,DSL,56,No,1,0,1,0,0,0,True,False,-1.1960038562387048,-0.29109036619319206
Male,0,No,5,Yes,Yes,Fiber optic,92,Yes,1,0,1,1,1,1,False,False,-1.1145631287986442,0.9053397363802651
Male,0,No,13,Yes,No,DSL,20,No,1,0,1,0,0,0,False,False,-0.7888002190384014,-1.4875204687666492
Male,0,Yes,53,Yes,No,DSL,65,No,1,1,1,0,0,0,False,True,0.8400143297628127,0.008017159450172232
Male,0,No,3,Yes,No,DSL,20,No,1,0,1,0,0,0,False,True,-1.1960038562387048,-1.4875204687666492
Male,0,No,46,Yes,Yes,DSL,95,No,1,0,1,1,0,0,False,True,0.5549717837226001,1.0050422449280532
Female,0,No,39,No,No,Fiber optic,40,No,0,0,0,0,1,0,False,False,0.26992923768238775,-0.8228370784480619
Female,0,Yes,30,Yes,No,Fiber optic,108,No,0,1,1,0,1,0,False,False,-0.0965540357978854,1.437086448635135
Female,0,No,23,Yes,Yes,DSL,99,No,0,0,1,1,0,0,False,True,-0.38159658183809786,1.1379789229917707
Male,0,Yes,40,Yes,No,DSL,20,No,1,1,1,0,0,0,True,False,0.3106496014024181,-1.4875204687666492
Female,0,No,45,Yes,No,DSL,63,No,0,0,1,0,0,0,False,False,0.5142514200025698,-0.0584511795816865
Male,0,No,53,Yes,No,DSL,20,No,1,0,1,0,0,0,True,False,0.8400143297628127,-1.4875204687666492
Female,1,No,72,Yes,No,DSL,112,No,0,0,1,0,0,0,True,False,1.6137012404433893,1.5700231266988525
